Country,region,year,score,gdp,life_expectancy,freedom
Russia,Europe,2019,5.648,1.183,0.726,0.334
Rwanda,Africa,2019,3.334,0.359,0.614,0.555
Saudi Arabia,Asia,2019,6.375,1.403,0.795,0.439
Senegal,Africa,2019,4.681,0.450,0.571,0.292
Serbia,Europe,2019,5.603,1.004,0.854,0.282
Sierra Leone,Africa,2019,4.374,0.268,0.242,0.309
Singapore,Asia,2019,6.262,1.572,1.141,0.556
Slovakia,Europe,2019,6.198,1.246,0.881,0.334
Slovenia,Europe,2019,6.118,1.258,0.953,0.564
Somalia,Africa,2019,4.668,0.000,0.268,0.559
South Africa,Africa,2019,4.722,0.960,0.469,0.389
South Korea,Asia,2019,5.895,1.301,1.036,0.159
South Sudan,Africa,2019,2.853,0.306,0.295,0.010
Spain,Europe,2019,6.354,1.286,1.062,0.362
Sri Lanka,Asia,2019,4.366,0.949,0.831,0.470
Swaziland,Africa,2019,4.212,0.811,0.000,0.313
Sweden,Europe,2019,7.343,1.387,1.009,0.574
Switzerland,Europe,2019,7.480,1.452,1.052,0.572
Syria,Asia,2019,3.462,0.619,0.440,0.013
Taiwan,Asia,2019,6.446,1.368,0.914,0.351
Tajikistan,Asia,2019,5.467,0.493,0.718,0.389
Tanzania,Africa,2019,3.231,0.476,0.499,0.417
Thailand,Asia,2019,6.008,1.050,0.828,0.557
Togo,Africa,2019,4.085,0.275,0.410,0.293
Trinidad & Tobago,South America,2019,6.192,1.231,0.713,0.489
Tunisia,Africa,2019,4.461,0.921,0.815,0.167
Turkey,Asia,2019,5.373,1.183,0.808,0.195
Turkmenistan,Asia,2019,5.247,1.052,0.657,0.394
Uganda,Africa,2019,4.189,0.332,0.443,0.356
Ukraine,Europe,2019,4.332,0.820,0.739,0.178
United Arab Emirates,Asia,2019,6.825,1.503,0.825,0.598
United Kingdom,Europe,2019,7.054,1.333,0.996,0.450
United States,North America,2019,6.892,1.433,0.874,0.454
Uruguay,South America,2019,6.293,1.124,0.891,0.523
Uzbekistan,Asia,2019,6.174,0.745,0.756,0.631
Venezuela,South America,2019,4.707,0.960,0.805,0.154
Vietnam,Asia,2019,5.175,0.741,0.851,0.543
Yemen,Asia,2019,3.380,0.287,0.463,0.143
Zambia,Africa,2019,4.107,0.578,0.426,0.431
Zimbabwe,Africa,2019,3.663,0.366,0.433,0.361
Afghanistan,Asia,2018,3.632,0.332,0.255,0.085
Albania,Europe,2018,4.586,0.916,0.790,0.419
Algeria,Africa,2018,5.295,0.979,0.687,0.077
Argentina,South America,2018,6.388,1.073,0.744,0.570
Armenia,Asia,2018,4.321,0.816,0.666,0.260
Australia,Oceania,2018,7.272,1.340,0.910,0.647
Austria,Europe,2018,7.139,1.341,0.891,0.617
Azerbaijan,Asia,2018,5.201,1.024,0.603,0.430
Bahrain,Asia,2018,6.105,1.338,0.698,0.594
Bangladesh,Asia,2018,4.500,0.532,0.579,0.580
Belarus,Europe,2018,5.483,1.039,0.700,0.307
Belgium,Europe,2018,6.927,1.324,0.894,0.583
Benin,Africa,2018,4.141,0.378,0.240,0.440
Bhutan,Asia,2018,5.082,0.796,0.527,0.541
Bolivia,South America,2018,5.752,0.751,0.508,0.606
Bosnia and Herzegovina,Europe,2018,5.129,0.915,0.758,0.280
Botswana,Africa,2018,3.590,1.017,0.417,0.557
Brazil,South America,2018,6.419,0.986,0.675,0.493
Bulgaria,Europe,2018,4.933,1.054,0.712,0.359
Burkina Faso,Africa,2018,4.424,0.314,0.254,0.312
Burundi,Africa,2018,2.905,0.091,0.145,0.065
Cambodia,Asia,2018,4.433,0.549,0.457,0.696
Cameroon,Africa,2018,4.975,0.535,0.182,0.454
Canada,North America,2018,7.328,1.330,0.896,0.653
Central African Republic,Africa,2018,3.083,0.024,0.010,0.305
Chad,Africa,2018,4.301,0.358,0.053,0.189
Chile,South America,2018,6.476,1.131,0.808,0.431
China,Asia,2018,5.246,0.989,0.799,0.597
Colombia,South America,2018,6.260,0.960,0.635,0.531
Comoros,Africa,2018,0.000,0.000,0.000,0.000
Congo (Brazzaville),Africa,2018,4.559,0.682,0.343,0.514
Congo (Kinshasa),Africa,2018,4.245,0.069,0.204,0.312
Costa Rica,North America,2018,7.072,1.010,0.817,0.632
Croatia,Europe,2018,5.321,1.115,0.737,0.380
Cyprus,Europe,2018,5.762,1.229,0.909,0.423
Czech Republic,Europe,2018,6.711,1.233,0.854,0.543
Denmark,Europe,2018,7.555,1.351,0.868,0.683
Dominican Republic,North America,2018,5.302,0.982,0.614,0.578
Ecuador,South America,2018,5.973,0.889,0.736,0.556
Egypt,Africa,2018,4.419,0.885,0.553,0.312
El Salvador,North America,2018,6.167,0.806,0.639,0.461
Estonia,Europe,2018,5.739,1.200,0.737,0.553
Ethiopia,Africa,2018,4.350,0.308,0.391,0.452
Finland,Europe,2018,7.632,1.305,0.874,0.681
France,Europe,2018,6.489,1.293,0.908,0.520
Gabon,Africa,2018,4.758,1.036,0.404,0.356
Gambia,Africa,2018,0.000,0.000,0.000,0.000
Georgia,Asia,2018,4.340,0.853,0.643,0.375
Germany,Europe,2018,6.965,1.340,0.861,0.586
Ghana,Africa,2018,4.657,0.592,0.337,0.499
Greece,Europe,2018,5.358,1.154,0.879,0.131
Guatemala,North America,2018,6.382,0.781,0.608,0.604
Guinea,Africa,2018,3.964,0.344,0.211,0.394
Haiti,North America,2018,3.582,0.315,0.289,0.025
Honduras,North America,2018,5.504,0.620,0.622,0.459
Hong Kong,Asia,2018,5.430,1.405,1.030,0.524
Hungary,Europe,2018,5.620,1.171,0.732,0.259
Iceland,Europe,2018,7.495,1.343,0.914,0.677
India,Asia,2018,4.190,0.721,0.485,0.539
Indonesia,Asia,2018,5.093,0.899,0.522,0.538
Iran,Asia,2018,4.707,1.059,0.691,0.459
Iraq,Asia,2018,4.456,1.010,0.536,0.304
Ireland,Europe,2018,6.977,1.448,0.876,0.614
Israel,Asia,2018,6.814,1.301,0.883,0.533
Italy,Europe,2018,6.000,1.264,0.946,0.281
Ivory Coast,Africa,2018,4.671,0.541,0.080,0.467
Jamaica,North America,2018,5.890,0.819,0.693,0.575
Japan,Asia,2018,5.915,1.294,0.988,0.553
Jordan,Asia,2018,5.161,0.822,0.645,0.468
Kazakhstan,Asia,2018,5.790,1.143,0.631,0.454
Kenya,Africa,2018,4.410,0.493,0.454,0.504
Kosovo,Europe,2018,5.662,0.855,0.578,0.448
Kuwait,Asia,2018,6.083,1.474,0.675,0.554
Kyrgyzstan,Asia,2018,5.131,0.530,0.594,0.540
Laos,Asia,2018,4.623,0.720,0.441,0.626
Latvia,Europe,2018,5.933,1.148,0.671,0.363
Lebanon,Asia,2018,5.358,0.965,0.785,0.503
Lesotho,Africa,2018,3.808,0.472,0.079,0.423
Liberia,Africa,2018,3.495,0.076,0.267,0.419
Libya,Africa,2018,5.566,0.985,0.553,0.496
Lithuania,Europe,2018,5.952,1.197,0.716,0.350
Luxembourg,Europe,2018,6.910,1.576,0.896,0.632
Madagascar,Africa,2018,3.774,0.262,0.402,0.221
Malawi,Africa,2018,3.587,0.186,0.306,0.531
Malaysia,Asia,2018,6.322,1.161,0.669,0.356
Mali,Africa,2018,4.447,0.370,0.152,0.367
Malta,Europe,2018,6.627,1.270,0.884,0.645
Mauritania,Africa,2018,4.356,0.557,0.292,0.129
Mauritius,Africa,2018,5.891,1.090,0.684,0.584
Mexico,North America,2018,6.488,1.038,0.761,0.479
Moldova,Europe,2018,5.640,0.657,0.620,0.232
Mongolia,Asia,2018,5.125,0.914,0.575,0.395
Montenegro,Europe,2018,5.347,1.017,0.729,0.259
Morocco,Africa,2018,5.254,0.779,0.669,0.460
Mozambique,Africa,2018,4.417,0.198,0.173,0.531
Myanmar,Asia,2018,4.308,0.682,0.429,0.580
Namibia,Africa,2018,4.441,0.874,0.365,0.519
Nepal,Asia,2018,4.880,0.425,0.539,0.526
Netherlands,Europe,2018,7.441,1.361,0.878,0.638
New Zealand,Oceania,2018,7.324,1.268,0.876,0.669
Nicaragua,North America,2018,6.141,0.668,0.700,0.527
Niger,Africa,2018,4.166,0.131,0.221,0.390
Nigeria,Africa,2018,5.155,0.689,0.048,0.462
North Macedonia,Europe,2018,0.000,0.000,0.000,0.000
Northern Cyprus,Asia,2018,5.835,1.229,0.909,0.495
Norway,Europe,2018,7.594,1.456,0.861,0.686
Pakistan,Asia,2018,5.472,0.652,0.424,0.334
Palestinian Territories,Asia,2018,4.743,0.642,0.602,0.266
Panama,North America,2018,6.430,1.112,0.759,0.597
Paraguay,South America,2018,5.681,0.835,0.615,0.541
Peru,South America,2018,5.663,0.934,0.674,0.530
Philippines,Asia,2018,5.524,0.775,0.513,0.643
Poland,Europe,2018,6.123,1.176,0.781,0.546
Portugal,Europe,2018,5.410,1.188,0.884,0.562
Qatar,Asia,2018,6.374,1.649,0.748,0.654
Romania,Europe,2018,5.945,1.116,0.726,0.528
Russia,Europe,2018,5.810,1.151,0.599,0.399
Rwanda,Africa,2018,3.408,0.332,0.400,0.636
Saudi Arabia,Asia,2018,6.371,1.379,0.633,0.509
Senegal,Africa,2018,4.631,0.429,0.433,0.406
Serbia,Europe,2018,5.398,0.975,0.685,0.288
Sierra Leone,Africa,2018,4.571,0.256,0.000,0.355
Singapore,Asia,2018,6.343,1.529,1.008,0.631
Slovakia,Europe,2018,6.173,1.210,0.776,0.354
Slovenia,Europe,2018,5.948,1.219,0.856,0.633
Somalia,Africa,2018,4.982,0.000,0.115,0.674
South Africa,Africa,2018,4.724,0.940,0.330,0.516
South Korea,Asia,2018,5.875,1.266,0.955,0.244
South Sudan,Africa,2018,3.254,0.337,0.177,0.112
Spain,Europe,2018,6.310,1.251,0.965,0.449
Sri Lanka,Asia,2018,4.471,0.918,0.672,0.585
Swaziland,Africa,2018,0.000,0.000,0.000,0.000
Sweden,Europe,2018,7.314,1.355,0.913,0.659
Switzerland,Europe,2018,7.487,1.420,0.927,0.660
Syria,Asia,2018,3.462,0.689,0.539,0.088
Taiwan,Asia,2018,6.441,1.365,0.857,0.418
Tajikistan,Asia,2018,5.199,0.474,0.598,0.292
Tanzania,Africa,2018,3.303,0.455,0.381,0.481
Thailand,Asia,2018,6.072,1.016,0.707,0.637
Togo,Africa,2018,3.999,0.259,0.253,0.434
Trinidad & Tobago,South America,2018,6.192,1.223,0.564,0.575
Tunisia,Africa,2018,4.592,0.900,0.690,0.271
Turkey,Asia,2018,5.483,1.148,0.686,0.324
Turkmenistan,Asia,2018,5.636,1.016,0.517,0.417
Uganda,Africa,2018,4.161,0.322,0.237,0.450
Ukraine,Europe,2018,4.103,0.793,0.609,0.163
United Arab Emirates,Asia,2018,6.774,2.096,0.670,0.284
United Kingdom,Europe,2018,7.190,1.244,0.888,0.464
United States,North America,2018,6.886,1.398,0.819,0.547
Uruguay,South America,2018,6.379,1.093,0.771,0.625
Uzbekistan,Asia,2018,6.096,0.719,0.605,0.724
Venezuela,South America,2018,4.806,0.996,0.657,0.133
Vietnam,Asia,2018,5.103,0.715,0.702,0.618
Yemen,Asia,2018,3.355,0.442,0.343,0.244
Zambia,Africa,2018,4.377,0.562,0.295,0.503
Zimbabwe,Africa,2018,3.692,0.357,0.248,0.406
Afghanistan,Asia,2017,3.794,0.401,0.181,0.106
Albania,Europe,2017,4.644,0.996,0.731,0.381
Algeria,Africa,2017,5.872,1.092,0.618,0.233
Argentina,South America,2017,6.599,1.185,0.695,0.495
Armenia,Asia,2017,4.376,0.901,0.638,0.198
Australia,Oceania,2017,7.284,1.484,0.844,0.602
Austria,Europe,2017,7.006,1.487,0.815,0.568
Azerbaijan,Asia,2017,5.234,1.154,0.541,0.398
Bahrain,Asia,2017,6.087,1.488,0.653,0.537
Bangladesh,Asia,2017,4.608,0.587,0.533,0.478
Belarus,Europe,2017,5.569,1.157,0.638,0.295
Belgium,Europe,2017,6.891,1.464,0.818,0.540
Benin,Africa,2017,3.657,0.431,0.210,0.426
Bhutan,Asia,2017,5.011,0.885,0.496,0.502
Bolivia,South America,2017,5.823,0.834,0.474,0.559
Bosnia and Herzegovina,Europe,2017,5.182,0.982,0.705,0.204
Botswana,Africa,2017,3.766,1.122,0.342,0.505
Brazil,South America,2017,6.635,1.107,0.617,0.437
Bulgaria,Europe,2017,4.714,1.161,0.708,0.289
Burkina Faso,Africa,2017,4.032,0.350,0.216,0.324
Burundi,Africa,2017,2.905,0.092,0.152,0.060
Cambodia,Asia,2017,4.168,0.602,0.430,0.633
Cameroon,Africa,2017,4.695,0.564,0.133,0.430
Canada,North America,2017,7.316,1.479,0.835,0.611
Central African Republic,Africa,2017,2.693,0.000,0.019,0.271
Chad,Africa,2017,3.936,0.438,0.041,0.162
Chile,South America,2017,6.652,1.253,0.819,0.377
China,Asia,2017,5.273,1.081,0.741,0.473
Colombia,South America,2017,6.357,1.071,0.595,0.477
Comoros,Africa,2017,0.000,0.000,0.000,0.000
Congo (Brazzaville),Africa,2017,4.291,0.809,0.290,0.435
Congo (Kinshasa),Africa,2017,4.280,0.092,0.191,0.236
Costa Rica,North America,2017,7.079,1.110,0.760,0.580
Croatia,Europe,2017,5.293,1.223,0.701,0.256
Cyprus,Europe,2017,5.621,1.356,0.845,0.355
Czech Republic,Europe,2017,6.609,1.353,0.754,0.491
Denmark,Europe,2017,7.522,1.482,0.793,0.626
Dominican Republic,North America,2017,5.230,1.079,0.575,0.553
Ecuador,South America,2017,6.008,1.001,0.686,0.455
Egypt,Africa,2017,4.735,0.990,0.520,0.282
El Salvador,North America,2017,6.003,0.910,0.596,0.432
Estonia,Europe,2017,5.611,1.321,0.695,0.479
Ethiopia,Africa,2017,4.460,0.339,0.353,0.409
Finland,Europe,2017,7.469,1.444,0.809,0.618
France,Europe,2017,6.442,1.431,0.844,0.470
Gabon,Africa,2017,4.465,1.198,0.357,0.312
Gambia,Africa,2017,0.000,0.000,0.000,0.000
Georgia,Asia,2017,4.286,0.951,0.650,0.309
Germany,Europe,2017,6.951,1.488,0.799,0.563
Ghana,Africa,2017,4.120,0.667,0.296,0.423
Greece,Europe,2017,5.227,1.289,0.810,0.096
Guatemala,North America,2017,6.454,0.872,0.540,0.531
Guinea,Africa,2017,3.507,0.245,0.194,0.349
Haiti,North America,2017,3.603,0.369,0.277,0.030
Honduras,North America,2017,5.181,0.731,0.583,0.348
Hong Kong,Asia,2017,0.000,0.000,0.000,0.000
Hungary,Europe,2017,5.324,1.286,0.688,0.176
Iceland,Europe,2017,7.504,1.481,0.834,0.627
India,Asia,2017,4.315,0.792,0.455,0.470
Indonesia,Asia,2017,5.262,0.996,0.492,0.443
Iran,Asia,2017,4.692,1.157,0.639,0.249
Iraq,Asia,2017,4.497,1.103,0.501,0.289
Ireland,Europe,2017,6.977,1.536,0.810,0.573
Israel,Asia,2017,7.213,1.375,0.838,0.406
Italy,Europe,2017,5.964,1.395,0.853,0.256
Ivory Coast,Africa,2017,4.180,0.603,0.049,0.448
Jamaica,North America,2017,5.311,0.926,0.641,0.474
Japan,Asia,2017,5.920,1.417,0.913,0.506
Jordan,Asia,2017,5.336,0.991,0.605,0.418
Kazakhstan,Asia,2017,5.819,1.285,0.606,0.437
Kenya,Africa,2017,4.553,0.560,0.310,0.453
Kosovo,Europe,2017,5.279,0.951,0.541,0.260
Kuwait,Asia,2017,6.105,1.633,0.632,0.496
Kyrgyzstan,Asia,2017,5.004,0.596,0.553,0.455
Laos,Asia,2017,0.000,0.000,0.000,0.000
Latvia,Europe,2017,5.850,1.261,0.639,0.326
Lebanon,Asia,2017,5.225,1.075,0.735,0.289
Lesotho,Africa,2017,3.808,0.521,0.000,0.391
Liberia,Africa,2017,3.533,0.119,0.230,0.333
Libya,Africa,2017,5.525,1.102,0.520,0.466
Lithuania,Europe,2017,5.902,1.315,0.629,0.234
Luxembourg,Europe,2017,6.863,1.742,0.845,0.597
Madagascar,Africa,2017,3.644,0.306,0.375,0.189
Malawi,Africa,2017,3.970,0.233,0.315,0.467
Malaysia,Asia,2017,6.084,1.291,0.619,0.402
Mali,Africa,2017,4.190,0.476,0.169,0.307
Malta,Europe,2017,6.527,1.343,0.822,0.589
Mauritania,Africa,2017,4.292,0.648,0.285,0.096
Mauritius,Africa,2017,5.629,1.189,0.638,0.491
Mexico,North America,2017,6.578,1.153,0.710,0.413
Moldova,Europe,2017,5.838,0.729,0.589,0.241
Mongolia,Asia,2017,4.955,1.027,0.558,0.394
Montenegro,Europe,2017,5.237,1.121,0.667,0.195
Morocco,Africa,2017,5.235,0.878,0.598,0.408
Mozambique,Africa,2017,4.550,0.234,0.107,0.481
Myanmar,Asia,2017,4.545,0.367,0.398,0.514
Namibia,Africa,2017,4.574,0.964,0.339,0.520
Nepal,Asia,2017,4.962,0.480,0.504,0.440
Netherlands,Europe,2017,7.377,1.504,0.811,0.585
New Zealand,Oceania,2017,7.314,1.406,0.817,0.614
Nicaragua,North America,2017,6.071,0.737,0.653,0.448
Niger,Africa,2017,4.028,0.162,0.269,0.364
Nigeria,Africa,2017,5.074,0.784,0.057,0.395
North Macedonia,Europe,2017,0.000,0.000,0.000,0.000
Northern Cyprus,Asia,2017,0.000,0.000,0.000,0.000
Norway,Europe,2017,7.537,1.616,0.797,0.635
Pakistan,Asia,2017,5.269,0.727,0.402,0.235
Palestinian Territories,Asia,2017,4.775,0.716,0.566,0.255
Panama,North America,2017,6.452,1.234,0.706,0.550
Paraguay,South America,2017,5.493,0.933,0.579,0.474
Peru,South America,2017,5.715,1.035,0.630,0.450
Philippines,Asia,2017,5.430,0.858,0.468,0.585
Poland,Europe,2017,5.973,1.292,0.699,0.520
Portugal,Europe,2017,5.195,1.315,0.796,0.498
Qatar,Asia,2017,6.375,1.871,0.710,0.604
Romania,Europe,2017,5.825,1.218,0.685,0.457
Russia,Europe,2017,5.963,1.282,0.547,0.374
Rwanda,Africa,2017,3.471,0.369,0.326,0.582
Saudi Arabia,Asia,2017,6.344,1.531,0.590,0.450
Senegal,Africa,2017,4.535,0.479,0.409,0.378
Serbia,Europe,2017,5.395,1.069,0.651,0.209
Sierra Leone,Africa,2017,4.709,0.368,0.006,0.319
Singapore,Asia,2017,6.572,1.692,0.949,0.550
Slovakia,Europe,2017,6.098,1.325,0.713,0.296
Slovenia,Europe,2017,5.758,1.341,0.791,0.573
Somalia,Africa,2017,5.151,0.023,0.114,0.602
South Africa,Africa,2017,4.829,1.055,0.187,0.479
South Korea,Asia,2017,5.838,1.402,0.900,0.258
South Sudan,Africa,2017,3.591,0.397,0.163,0.147
Spain,Europe,2017,6.403,1.384,0.889,0.409
Sri Lanka,Asia,2017,4.440,1.010,0.625,0.561
Swaziland,Africa,2017,0.000,0.000,0.000,0.000
Sweden,Europe,2017,7.284,1.494,0.831,0.613
Switzerland,Europe,2017,7.494,1.565,0.858,0.620
Syria,Asia,2017,3.462,0.777,0.501,0.082
Taiwan,Asia,2017,0.000,0.000,0.000,0.000
Tajikistan,Asia,2017,5.041,0.525,0.529,0.472
Tanzania,Africa,2017,3.349,0.511,0.365,0.390
Thailand,Asia,2017,6.424,1.128,0.647,0.580
Togo,Africa,2017,3.495,0.305,0.247,0.380
Trinidad & Tobago,South America,2017,0.000,0.000,0.000,0.000
Tunisia,Africa,2017,4.805,1.007,0.613,0.290
Turkey,Asia,2017,5.500,1.198,0.638,0.301
Turkmenistan,Asia,2017,5.822,1.131,0.438,0.418
Uganda,Africa,2017,4.081,0.381,0.218,0.443
Ukraine,Europe,2017,4.096,0.895,0.576,0.123
United Arab Emirates,Asia,2017,6.648,1.626,0.727,0.608
United Kingdom,Europe,2017,6.714,1.442,0.805,0.508
United States,North America,2017,6.993,1.546,0.774,0.506
Uruguay,South America,2017,6.454,1.218,0.719,0.579
Uzbekistan,Asia,2017,5.971,0.786,0.498,0.658
Venezuela,South America,2017,5.250,1.128,0.617,0.154
Vietnam,Asia,2017,5.074,0.789,0.652,0.571
Yemen,Asia,2017,3.593,0.592,0.310,0.249
Zambia,Africa,2017,4.514,0.636,0.258,0.462
Zimbabwe,Africa,2017,3.875,0.376,0.197,0.336
Afghanistan,Asia,2016,3.360,0.382,0.173,0.164
Albania,Europe,2016,4.655,0.955,0.730,0.319
Algeria,Africa,2016,6.355,1.053,0.618,0.210
Argentina,South America,2016,6.650,1.151,0.697,0.423
Armenia,Asia,2016,4.360,0.861,0.641,0.140
Australia,Oceania,2016,7.313,1.444,0.851,0.568
Austria,Europe,2016,7.119,1.450,0.806,0.544
Azerbaijan,Asia,2016,5.291,1.124,0.545,0.353
Bahrain,Asia,2016,6.218,1.440,0.657,0.474
Bangladesh,Asia,2016,4.643,0.542,0.530,0.398
Belarus,Europe,2016,5.802,1.131,0.631,0.291
Belgium,Europe,2016,6.929,1.425,0.820,0.514
Benin,Africa,2016,3.484,0.395,0.210,0.397
Bhutan,Asia,2016,5.196,0.853,0.498,0.461
Bolivia,South America,2016,5.822,0.794,0.470,0.510
Bosnia and Herzegovina,Europe,2016,5.163,0.934,0.708,0.095
Botswana,Africa,2016,3.974,1.094,0.348,0.441
Brazil,South America,2016,6.952,1.088,0.614,0.404
Bulgaria,Europe,2016,4.217,1.113,0.678,0.212
Burkina Faso,Africa,2016,3.739,0.320,0.213,0.334
